H1 13d gene	H1 13d RPKM
ISEnfa4|1|JQ911741	40.0028742848148
ISLjo2|1|NC_005362	26.188986062971164
MITEEc1|1|U00096	21.453383032240467
ISEfm2|1|AY887085	16.501178927439728
ISLhe30|1|CBUL010000181	15.81420806376583
ISEfa4|1|AY082011	10.55984626904074
ISEnfa1|1|AY884205	10.130977040849984
ISEf1|1|NC_004668	8.311296213162986
ISEfm1|1|AF138282	7.42345345351919
ISKpn26|1|NC_016845	6.934167998715084
ISLjo5|1|NC_005362	4.485561489368289
ISLcr1|1|NC_014106	4.4848873912108385
ISLdl1|1|AJ302652	3.9996454914218678
ISLh1|1|X81979	3.7226430165092053
ISL2|1|X77332	3.07548498014636
ISEc1|1|L02370	2.335966460520595
ISL4|1|AY040213	2.2736223616798017
IS421|1|Y07501	2.1067432241049424
MTnSag1|1|AY928180	1.9679230209388632
ISEc18|1|AM236323	1.663087886322843
IS621|1|NC_009800	1.587227737122152
ISEc17|1|DQ388534	1.498277375065624
IS30|1|X00792	1.389311747788124
ISEc5|1|L02372	1.0219853264777603
IS102|1|J01728	0.8915955240456741
ISL5|1|AY040214	0.829800664454584
ISEc26|1|NC_002655	0.7221582137289483
IS629|1|X51586	0.7194018846689142
IS153|1|AJ239042	0.6689735360541457
Tn559|1|FR849910.1	0.6599555104455724
ISSsu6|1|AB627109	0.5324386830035467
ISEfa10|1|FJ795373	0.4829808937431275
ISEnfa110|1|AF173641	0.4679907977237878
ISS1E|1|X60734	0.4665428063941968
ISSsu5|1|NC_009442	0.33597735077229157
IS150|1|X07037	0.2612381064216986
IS3|1|X02311	0.14982773750656242
ISL6|1|AY040215	0.12927523579098457
H2 17d gene	H2 17d RPKM
ISLre2|1|AP007281	65.69991229123691
ISLjo1|1|NC_005362	46.97453394185407
MITEEc1|1|U00096	40.348151381801955
ISLhe30|1|CBUL010000181	29.525353128800962
ISL2|1|X77332	16.898865815948728
ISLjo2|1|NC_005362	12.788205003726095
ISLdl1|1|AJ302652	10.195636006058397
ISL4|1|AY040213	7.8059486796624595
ISL5|1|AY040214	7.344169618885151
ISLcr1|1|NC_014106	6.702646975281844
IS153|1|AJ239042	5.9577702520547895
ISLh1|1|X81979	4.754242858794935
ISEnfa110|1|AF173641	4.047043190046737
MTnSag1|1|AY928180	2.42711174034792
ISEnfa4|1|JQ911741	1.4699433149581305
ISLjo5|1|NC_005362	1.3431685749912514
IS629|1|X51586	1.1885221062623297
ISSso4|1|NC_007385	1.1066366275613522
ISEc52|1|HG941718	1.0120265734823737
ISEc1|1|L02370	0.6783828249822262
ISSbo1|1|CP001062	0.62633863192072
ISEnfa200|1|AF125554	0.618235371348337
IS30|1|X00792	0.5578802065123649
ISEc17|1|DQ388534	0.46411882726658943
IS621|1|NC_009800	0.40972735768517154
ISEam1|1|AF264951	0.3955701115862937
