Sample ID	ATB group	Group AVG (%)	RPKM sum	total RPKM
H1 13	NC_011990|MOBP	0.017789440481743652	{'NC_011990|MOBP': 1432.105945606627, 'KT693143|MOBP': 19.386806928922343, 'NC_008487|MOBP': 9.72417617387216, 'NC_019078|MOBP': 398.57406437967575, 'NC_011214|MOBP': 30.975325228008508, 'NC_019357|MOBP': 11.206520102816087, 'NC_018997|MOBP': 14603.310858799787, 'NZ_CP011431|MOBQ': 8.751758556484944, 'CP018844|MOBP': 747.5460433664223, 'AP017298|MOBP': 7.123524406441233, 'KX712120|MOBP': 242.19982981900193, 'NC_019218|MOBP': 53.60452115847028, 'NC_013942|MOBP': 25.83350417275676, 'MF083142|MOBP': 17.208514015560283, 'KU254578|MOBP': 2408.8945310719973, 'CP019195|MOBP': 92.26251490270272, 'KY014464|MOBP': 10.562467223343898, 'NZ_CP011595|MOBP': 848.815137104865, 'NZ_CP013027|MOBF': 5.7147677141226305, 'DQ318958|MOBQ': 4.25432707606907, 'KM085453|MOBP': 7.123524406441233, 'CP002136|MOB_unknown': 58.47765944560395, 'GQ900404|MOB_unknown': 8.353951349371993, 'CP018359|MOB_unknown': 57795.42008540523, 'JN985534|MOB_unknown': 114.17066844141723, 'AB027308|MOBP': 1541.5461674765056}	80503.14719433253
H1 13	KT693143|MOBP	0.00024082048472121332	{'NC_011990|MOBP': 1432.105945606627, 'KT693143|MOBP': 19.386806928922343, 'NC_008487|MOBP': 9.72417617387216, 'NC_019078|MOBP': 398.57406437967575, 'NC_011214|MOBP': 30.975325228008508, 'NC_019357|MOBP': 11.206520102816087, 'NC_018997|MOBP': 14603.310858799787, 'NZ_CP011431|MOBQ': 8.751758556484944, 'CP018844|MOBP': 747.5460433664223, 'AP017298|MOBP': 7.123524406441233, 'KX712120|MOBP': 242.19982981900193, 'NC_019218|MOBP': 53.60452115847028, 'NC_013942|MOBP': 25.83350417275676, 'MF083142|MOBP': 17.208514015560283, 'KU254578|MOBP': 2408.8945310719973, 'CP019195|MOBP': 92.26251490270272, 'KY014464|MOBP': 10.562467223343898, 'NZ_CP011595|MOBP': 848.815137104865, 'NZ_CP013027|MOBF': 5.7147677141226305, 'DQ318958|MOBQ': 4.25432707606907, 'KM085453|MOBP': 7.123524406441233, 'CP002136|MOB_unknown': 58.47765944560395, 'GQ900404|MOB_unknown': 8.353951349371993, 'CP018359|MOB_unknown': 57795.42008540523, 'JN985534|MOB_unknown': 114.17066844141723, 'AB027308|MOBP': 1541.5461674765056}	80503.14719433253
H1 13	NC_008487|MOBP	0.00012079249709825937	{'NC_011990|MOBP': 1432.105945606627, 'KT693143|MOBP': 19.386806928922343, 'NC_008487|MOBP': 9.72417617387216, 'NC_019078|MOBP': 398.57406437967575, 'NC_011214|MOBP': 30.975325228008508, 'NC_019357|MOBP': 11.206520102816087, 'NC_018997|MOBP': 14603.310858799787, 'NZ_CP011431|MOBQ': 8.751758556484944, 'CP018844|MOBP': 747.5460433664223, 'AP017298|MOBP': 7.123524406441233, 'KX712120|MOBP': 242.19982981900193, 'NC_019218|MOBP': 53.60452115847028, 'NC_013942|MOBP': 25.83350417275676, 'MF083142|MOBP': 17.208514015560283, 'KU254578|MOBP': 2408.8945310719973, 'CP019195|MOBP': 92.26251490270272, 'KY014464|MOBP': 10.562467223343898, 'NZ_CP011595|MOBP': 848.815137104865, 'NZ_CP013027|MOBF': 5.7147677141226305, 'DQ318958|MOBQ': 4.25432707606907, 'KM085453|MOBP': 7.123524406441233, 'CP002136|MOB_unknown': 58.47765944560395, 'GQ900404|MOB_unknown': 8.353951349371993, 'CP018359|MOB_unknown': 57795.42008540523, 'JN985534|MOB_unknown': 114.17066844141723, 'AB027308|MOBP': 1541.5461674765056}	80503.14719433253
H1 13	NC_019078|MOBP	0.004951037049738294	{'NC_011990|MOBP': 1432.105945606627, 'KT693143|MOBP': 19.386806928922343, 'NC_008487|MOBP': 9.72417617387216, 'NC_019078|MOBP': 398.57406437967575, 'NC_011214|MOBP': 30.975325228008508, 'NC_019357|MOBP': 11.206520102816087, 'NC_018997|MOBP': 14603.310858799787, 'NZ_CP011431|MOBQ': 8.751758556484944, 'CP018844|MOBP': 747.5460433664223, 'AP017298|MOBP': 7.123524406441233, 'KX712120|MOBP': 242.19982981900193, 'NC_019218|MOBP': 53.60452115847028, 'NC_013942|MOBP': 25.83350417275676, 'MF083142|MOBP': 17.208514015560283, 'KU254578|MOBP': 2408.8945310719973, 'CP019195|MOBP': 92.26251490270272, 'KY014464|MOBP': 10.562467223343898, 'NZ_CP011595|MOBP': 848.815137104865, 'NZ_CP013027|MOBF': 5.7147677141226305, 'DQ318958|MOBQ': 4.25432707606907, 'KM085453|MOBP': 7.123524406441233, 'CP002136|MOB_unknown': 58.47765944560395, 'GQ900404|MOB_unknown': 8.353951349371993, 'CP018359|MOB_unknown': 57795.42008540523, 'JN985534|MOB_unknown': 114.17066844141723, 'AB027308|MOBP': 1541.5461674765056}	80503.14719433253
H1 13	NC_011214|MOBP	0.0003847716059253543	{'NC_011990|MOBP': 1432.105945606627, 'KT693143|MOBP': 19.386806928922343, 'NC_008487|MOBP': 9.72417617387216, 'NC_019078|MOBP': 398.57406437967575, 'NC_011214|MOBP': 30.975325228008508, 'NC_019357|MOBP': 11.206520102816087, 'NC_018997|MOBP': 14603.310858799787, 'NZ_CP011431|MOBQ': 8.751758556484944, 'CP018844|MOBP': 747.5460433664223, 'AP017298|MOBP': 7.123524406441233, 'KX712120|MOBP': 242.19982981900193, 'NC_019218|MOBP': 53.60452115847028, 'NC_013942|MOBP': 25.83350417275676, 'MF083142|MOBP': 17.208514015560283, 'KU254578|MOBP': 2408.8945310719973, 'CP019195|MOBP': 92.26251490270272, 'KY014464|MOBP': 10.562467223343898, 'NZ_CP011595|MOBP': 848.815137104865, 'NZ_CP013027|MOBF': 5.7147677141226305, 'DQ318958|MOBQ': 4.25432707606907, 'KM085453|MOBP': 7.123524406441233, 'CP002136|MOB_unknown': 58.47765944560395, 'GQ900404|MOB_unknown': 8.353951349371993, 'CP018359|MOB_unknown': 57795.42008540523, 'JN985534|MOB_unknown': 114.17066844141723, 'AB027308|MOBP': 1541.5461674765056}	80503.14719433253
H1 13	NC_019357|MOBP	0.00013920598750957942	{'NC_011990|MOBP': 1432.105945606627, 'KT693143|MOBP': 19.386806928922343, 'NC_008487|MOBP': 9.72417617387216, 'NC_019078|MOBP': 398.57406437967575, 'NC_011214|MOBP': 30.975325228008508, 'NC_019357|MOBP': 11.206520102816087, 'NC_018997|MOBP': 14603.310858799787, 'NZ_CP011431|MOBQ': 8.751758556484944, 'CP018844|MOBP': 747.5460433664223, 'AP017298|MOBP': 7.123524406441233, 'KX712120|MOBP': 242.19982981900193, 'NC_019218|MOBP': 53.60452115847028, 'NC_013942|MOBP': 25.83350417275676, 'MF083142|MOBP': 17.208514015560283, 'KU254578|MOBP': 2408.8945310719973, 'CP019195|MOBP': 92.26251490270272, 'KY014464|MOBP': 10.562467223343898, 'NZ_CP011595|MOBP': 848.815137104865, 'NZ_CP013027|MOBF': 5.7147677141226305, 'DQ318958|MOBQ': 4.25432707606907, 'KM085453|MOBP': 7.123524406441233, 'CP002136|MOB_unknown': 58.47765944560395, 'GQ900404|MOB_unknown': 8.353951349371993, 'CP018359|MOB_unknown': 57795.42008540523, 'JN985534|MOB_unknown': 114.17066844141723, 'AB027308|MOBP': 1541.5461674765056}	80503.14719433253
H1 13	NC_018997|MOBP	0.1814004963501336	{'NC_011990|MOBP': 1432.105945606627, 'KT693143|MOBP': 19.386806928922343, 'NC_008487|MOBP': 9.72417617387216, 'NC_019078|MOBP': 398.57406437967575, 'NC_011214|MOBP': 30.975325228008508, 'NC_019357|MOBP': 11.206520102816087, 'NC_018997|MOBP': 14603.310858799787, 'NZ_CP011431|MOBQ': 8.751758556484944, 'CP018844|MOBP': 747.5460433664223, 'AP017298|MOBP': 7.123524406441233, 'KX712120|MOBP': 242.19982981900193, 'NC_019218|MOBP': 53.60452115847028, 'NC_013942|MOBP': 25.83350417275676, 'MF083142|MOBP': 17.208514015560283, 'KU254578|MOBP': 2408.8945310719973, 'CP019195|MOBP': 92.26251490270272, 'KY014464|MOBP': 10.562467223343898, 'NZ_CP011595|MOBP': 848.815137104865, 'NZ_CP013027|MOBF': 5.7147677141226305, 'DQ318958|MOBQ': 4.25432707606907, 'KM085453|MOBP': 7.123524406441233, 'CP002136|MOB_unknown': 58.47765944560395, 'GQ900404|MOB_unknown': 8.353951349371993, 'CP018359|MOB_unknown': 57795.42008540523, 'JN985534|MOB_unknown': 114.17066844141723, 'AB027308|MOBP': 1541.5461674765056}	80503.14719433253
H1 13	NZ_CP011431|MOBQ	0.00010871324738843344	{'NC_011990|MOBP': 1432.105945606627, 'KT693143|MOBP': 19.386806928922343, 'NC_008487|MOBP': 9.72417617387216, 'NC_019078|MOBP': 398.57406437967575, 'NC_011214|MOBP': 30.975325228008508, 'NC_019357|MOBP': 11.206520102816087, 'NC_018997|MOBP': 14603.310858799787, 'NZ_CP011431|MOBQ': 8.751758556484944, 'CP018844|MOBP': 747.5460433664223, 'AP017298|MOBP': 7.123524406441233, 'KX712120|MOBP': 242.19982981900193, 'NC_019218|MOBP': 53.60452115847028, 'NC_013942|MOBP': 25.83350417275676, 'MF083142|MOBP': 17.208514015560283, 'KU254578|MOBP': 2408.8945310719973, 'CP019195|MOBP': 92.26251490270272, 'KY014464|MOBP': 10.562467223343898, 'NZ_CP011595|MOBP': 848.815137104865, 'NZ_CP013027|MOBF': 5.7147677141226305, 'DQ318958|MOBQ': 4.25432707606907, 'KM085453|MOBP': 7.123524406441233, 'CP002136|MOB_unknown': 58.47765944560395, 'GQ900404|MOB_unknown': 8.353951349371993, 'CP018359|MOB_unknown': 57795.42008540523, 'JN985534|MOB_unknown': 114.17066844141723, 'AB027308|MOBP': 1541.5461674765056}	80503.14719433253
H1 13	CP018844|MOBP	0.00928592321442869	{'NC_011990|MOBP': 1432.105945606627, 'KT693143|MOBP': 19.386806928922343, 'NC_008487|MOBP': 9.72417617387216, 'NC_019078|MOBP': 398.57406437967575, 'NC_011214|MOBP': 30.975325228008508, 'NC_019357|MOBP': 11.206520102816087, 'NC_018997|MOBP': 14603.310858799787, 'NZ_CP011431|MOBQ': 8.751758556484944, 'CP018844|MOBP': 747.5460433664223, 'AP017298|MOBP': 7.123524406441233, 'KX712120|MOBP': 242.19982981900193, 'NC_019218|MOBP': 53.60452115847028, 'NC_013942|MOBP': 25.83350417275676, 'MF083142|MOBP': 17.208514015560283, 'KU254578|MOBP': 2408.8945310719973, 'CP019195|MOBP': 92.26251490270272, 'KY014464|MOBP': 10.562467223343898, 'NZ_CP011595|MOBP': 848.815137104865, 'NZ_CP013027|MOBF': 5.7147677141226305, 'DQ318958|MOBQ': 4.25432707606907, 'KM085453|MOBP': 7.123524406441233, 'CP002136|MOB_unknown': 58.47765944560395, 'GQ900404|MOB_unknown': 8.353951349371993, 'CP018359|MOB_unknown': 57795.42008540523, 'JN985534|MOB_unknown': 114.17066844141723, 'AB027308|MOBP': 1541.5461674765056}	80503.14719433253
H1 13	AP017298|MOBP	8.848752694407372e-05	{'NC_011990|MOBP': 1432.105945606627, 'KT693143|MOBP': 19.386806928922343, 'NC_008487|MOBP': 9.72417617387216, 'NC_019078|MOBP': 398.57406437967575, 'NC_011214|MOBP': 30.975325228008508, 'NC_019357|MOBP': 11.206520102816087, 'NC_018997|MOBP': 14603.310858799787, 'NZ_CP011431|MOBQ': 8.751758556484944, 'CP018844|MOBP': 747.5460433664223, 'AP017298|MOBP': 7.123524406441233, 'KX712120|MOBP': 242.19982981900193, 'NC_019218|MOBP': 53.60452115847028, 'NC_013942|MOBP': 25.83350417275676, 'MF083142|MOBP': 17.208514015560283, 'KU254578|MOBP': 2408.8945310719973, 'CP019195|MOBP': 92.26251490270272, 'KY014464|MOBP': 10.562467223343898, 'NZ_CP011595|MOBP': 848.815137104865, 'NZ_CP013027|MOBF': 5.7147677141226305, 'DQ318958|MOBQ': 4.25432707606907, 'KM085453|MOBP': 7.123524406441233, 'CP002136|MOB_unknown': 58.47765944560395, 'GQ900404|MOB_unknown': 8.353951349371993, 'CP018359|MOB_unknown': 57795.42008540523, 'JN985534|MOB_unknown': 114.17066844141723, 'AB027308|MOBP': 1541.5461674765056}	80503.14719433253
